数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机硬件技术工程师（双休）,3000-6000元,广州·黄埔·联和,1-3年,大专,立即投递收藏
智联,计算机,计算机专业教师,5000-8000元,大连·金州·拥政,经验不限,本科,立即投递收藏
智联,计算机,诚聘普工/操作工,3000-5000元,金华·金东区·塘雅镇,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件设备销售经理,4000-8000元,郑州·中原·石佛,1-3年,学历不限,立即投递收藏
智联,计算机,计算机二级教师（实习教师）,100-200元/天,沈阳·沈河·五里河,经验不限,本科,立即投递收藏
智联,计算机,急聘普工/操作工,3000-5000元,北京·通州·西集,经验不限,大专,立即投递收藏
智联,计算机,计算机【暑假工】（在福建福州上班）可签三方,90-110元/天,福州·仓山·螺洲,经验不限,大专,立即投递收藏
智联,计算机,计算机维护,6000-7000元,成都·武侯·石羊,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师（服务器电脑）,6000-8000元,天津·南开·学府,5-10年,大专,立即投递收藏
智联,计算机,计算机实习生（在福建福州上班）实习证明,90-140元/天,长春·南关·明珠,经验不限,大专,立即投递收藏
智联,计算机,计算机维护,6000-7000元,成都·锦江·锦官驿,1-3年,大专,立即投递收藏
智联,计算机,计算机硬件维护工程师,6000-9000元·13薪,武汉·洪山·九峰,1-3年,大专,立即投递收藏
智联,计算机,计算机实习生2027届【提供实习证明】，提供宿舍,90-120元/天,福州·仓山·螺洲,经验不限,大专,立即投递收藏
智联,计算机,计算机管理员,7000-9000元,成都·武侯·石羊,经验不限,大专,立即投递收藏
智联,计算机,计算机网络工程师,6000-8000元,包头·九原区,5-10年,大专,立即投递收藏
智联,计算机,计算机实习生（在浙福建福州上班）提供住宿,90-130元/天,哈尔滨·松北·松北街道,经验不限,大专,立即投递收藏
智联,计算机,大学计算机讲师,5000-10000元,沈阳·沈北·道义,3-5年,硕士,立即投递收藏
智联,计算机,星载AI计算机研发工程师,1.5-3万,南通·崇川·新开,1-3年,博士,立即投递收藏
智联,计算机,计算机老师,5000-8000元,青岛·城阳·棘洪滩,3-5年,本科,立即投递收藏
智联,计算机,计算机组装贴标260/天 包吃住可短期,7000-8000元,武汉·洪山·关山,经验不限,学历不限,立即投递收藏
智联,计算机,计算机老师,3000-6000元,德阳·罗江区·万安镇,经验不限,本科,立即投递收藏
智联,计算机,双语计算机/人工智能老师（全职/兼职）,6000-12000元,合肥·蜀山·小庙,1-3年,本科,立即投递收藏
智联,计算机,计算机软件安排,7000-10000元,海口·秀英·西秀,经验不限,大专,立即投递收藏
智联,计算机,计算机视觉算法研发工程师,2-3万,北京·丰台·看丹,3-5年,本科,立即投递收藏
