job_name,city,education,work_exp,company,salary_avg,data_source
网络技术支持专员,北京,大专,1年及以上,杭州顺久发信息科技,10500,前程无忧
桌面技术支持(双休 五险一金),北京,大专,无需经验,北京棱澈科技,10000,前程无忧
IT技术支持（双休+补贴）,北京,本科,无需经验,河南腾桓人力资源,11500,前程无忧
机械产品工程师,北京,本科,1年及以上,内蒙古朝正机械设备,7000,前程无忧
网络运维工程师（五险+双休）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
网络运维工程师（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
it技术支持（双休）,北京,大专,无需经验,安阳创凌信息科技,10000,前程无忧
it技术支持（五险一金，包食宿）,北京,大专,无需经验,山东星智海人力资源,10500,前程无忧
网络工程师（五险+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
网络运维专员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
网络安装技术人员,北京,大专,无需经验,北京欧兴科技,6000,前程无忧
IT技术支持,北京,大专,1年及以上,北京博石众强商贸,12500,前程无忧
应用服务（双休+五险）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
系统运维工程师（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
网络工程师（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
信息安全工程师+不限经验+双休,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
互联网通信（五险+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
服务器运维工程师（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
网络运维工程师,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
售后技术支持,北京,本科,无需经验,杭州愿达网络科技有限公司北京,8000,前程无忧
财务软件运维支持,北京,本科,无需经验,上海复翼软件开发,7500,前程无忧
数据分析师,北京,大专,无需经验,北京京铭宏硕科技,9500,前程无忧
云平台运维岗,北京,本科,5年及以上,前锦网络信息技术（上海）,30000,前程无忧
初级运维工程师,北京,大专,1年,潍坊市博远人力资源,10500,前程无忧
物联网工程师（五险+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
运维工程师,北京,本科,1-3年,杭州愿达网络科技有限公司北京,9500,前程无忧
电脑维护专员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
实施工程师（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
IT运维工作师（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
技术工程师,北京,大专,1年及以上,北京京铭宏硕科技有限公司西安,6500,前程无忧
人工智能方向技术岗,北京,本科,2年及以上,军工保密资格审查认证中心,13500,前程无忧
信息化运维专员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
技术支持工程师(TRC03F12),北京,本科,1年及以上,福建顶点软件,13000,前程无忧
系统维护工程师（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
信息化专员（双休+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
基础电脑技术员,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
AFC运维+月入过万+五险一金,北京,大专,无需经验,河北华育企业管理,9000,前程无忧
销售经理（工控机+AI硬件）,北京,大专,2年及以上,图为信息科技（深圳）,12500,前程无忧
监控工程师（双休+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
IT服务工程师,北京,大专,1年及以上,广州广电银通金融电子科技,7500,前程无忧
信息化专员（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
桌面运维（双休，五险一金）,北京,大专,无需经验,安徽龙隆瑞启企业管理咨询,10500,前程无忧
月入过万/运维技术/十三薪,北京,中技/中专,无需经验,河北华育企业管理,9000,前程无忧
企业IT运维专员（双休 五险一金）,北京,大专,无需经验,北京棱澈科技,10000,前程无忧
8k+运维技术员+周末双休,北京,大专,无需经验,河北华育企业管理,9000,前程无忧
系统工程师（双休+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
IT助理+双休+经验不限,北京,大专,无需经验,潍坊市博远人力资源,10000,前程无忧
linux运维工程师,北京,大专,1年,北京华琪软通技术,7500,前程无忧
月入过万+智能运维工程师+包食宿,北京,大专,无需经验,河北华育企业管理,9000,前程无忧
网络安全（五险+双休）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
基础运维+经验不限+五险,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
it运维工程师,北京,本科,3-5年,宁波江丰电子材料,8000,前程无忧
机器视觉软件架构工程师,北京,博士,1-3年,江苏镭创高科光电科技,30000,前程无忧
初级运维工程师(J10859),北京,本科,1年及以上,北京万方数据,8500,前程无忧
初级运维工程师+双休+可无经验,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
测试工程师,北京,大专,1年及以上,杭州顺久发信息科技,10500,前程无忧
机器视觉研发工程师,北京,本科,2年及以上,北京久仪科技,15000,前程无忧
系统管理员,北京,本科,无需经验,杭州愿达网络科技有限公司北京,9500,前程无忧
IT支持,北京,大专,无需经验,潍坊市博远人力资源,11000,前程无忧
运维工程师,北京,大专,2年及以上,北京中科航天人才服务,9000,前程无忧
ROS巡检机器人系统工程师,北京,本科,3年及以上,北京久仪科技,15000,前程无忧
软件开发+经验不限+双休,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
中粮信科-云计算工程师,北京,本科,3年及以上,中粮信息科技,20000,前程无忧
自动驾驶测试安全员（路测司机）,北京,高中,3年及以上,深圳市法本信息技术,6000,前程无忧
物联网信息技术,北京,本科,1-3年,杭州愿达网络科技有限公司北京,9500,前程无忧
8k+智能运维+周末双休,北京,中技/中专,无需经验,河北华育企业管理,9000,前程无忧
网络管理员,北京,本科,无需经验,北京欧兴科技,7000,前程无忧
AI编译器工程师,北京,本科,3年及以上,进迭时空（杭州）科技,45000,前程无忧
ai数据标注（五险一金，双休）,北京,大专,无需经验,山东星智海人力资源,9000,前程无忧
测试工程师,北京,本科,1-3年,北京博石众强商贸,12500,前程无忧
北京售后服务工程师（数据机房产品）,,大专,1年及以上,上海黎耀科技发展,8000,前程无忧
机器学习工程师,北京,硕士,无需经验,北京智能重构科技,14500,前程无忧
测试工程师,北京,大专,无需经验,潍坊市博远人力资源,10000,前程无忧
售后技术工程师,天津,本科,2年及以上,北京安鸿羽机械设备,8000,前程无忧
游戏功能测试（五险+补贴）,北京,大专,无需经验,济南古之文化传媒,10000,前程无忧
IT运维工程师,北京,本科,无需经验,北京精雕科技集团,15000,前程无忧
26届应届硕博毕业生岗（国企）,北京,硕士,无需经验,前锦网络信息技术（上海）,25000,前程无忧
网络安全工程师+五险一金+可无经验,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
通信工程师（五险+双休）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
数据标注（五险一金 包食宿）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
python大数据工程师(数据采集岗),北京,本科,2年及以上,北京远大创新科技,11000,前程无忧
初级开发工程师+经验不限+双休,北京,大专,无需经验,潍坊市博远人力资源,10000,前程无忧
上位机开发工程师,北京,本科,1-3年,北京机电工程研究所,12500,前程无忧
智能科技（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
售前工程师（北京）,北京,本科,2年及以上,天地伟业,13500,前程无忧
月入过万/晋升空间大+智能运维,北京,中技/中专,无需经验,河北华育企业管理,9000,前程无忧
计算机安全管理员,北京,本科,5年及以上,广东省大湾区集成电路与系统应用研究院,11000,前程无忧
通信工程师（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
测试工程师助理+不限经验+双休,北京,大专,无需经验,潍坊市博远人力资源,10000,前程无忧
通信类实习生+可转正+应届优先,北京,本科,无需经验,北京欧兴科技,6500,前程无忧
技术支持专员（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
软件工程师助理（五险+补贴）,北京,大专,无需经验,济南古之文化传媒,10500,前程无忧
信息安全工程师,北京,大专,无需经验,潍坊市博远人力资源,11000,前程无忧
专利代理人（通信/电子/机械）五险一金+双休+餐补等,北京,本科,3年及以上,北京中海智圣知识产权代理,10000,前程无忧
软件技术专家-上位机,北京,本科,10年及以上,盛吉盛半导体技术（上海）,31500,前程无忧
JAVA+双休+五险一金,北京,大专,无需经验,潍坊市博远人力资源,9500,前程无忧
上位机程序开发工程师,北京,硕士,3年及以上,北京铁五院工程机械,22500,前程无忧
电子信息工程师（双休）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
