数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机硬件工程师,,西安·未央·谭家,1-3年,大专,西安幸芙商贸有限公司
智联,计算机,云计算机维护技术员,,福州·马尾·温泉,经验不限,学历不限,福州几何渲染科技有限公司
智联,计算机,计算机操作员,,无锡·滨湖·太湖,经验不限,中专/中技,广州或范科技有限公司
智联,计算机,计算机组装贴标260/天 包吃住可短期,,武汉·洪山·关山,经验不限,学历不限,武汉中京人力资源服务有限公司
智联,计算机,专升本计算机老师,,济南·市中·舜耕,经验不限,本科,山东山仑教育集团有限公司
智联,计算机,招信丰计算机和网络见习生二名,,赣州·信丰县·嘉定镇,经验不限,大专,赣州金源信息技术有限公司
智联,计算机,计算机维护,,合肥·蜀山·荷叶地,经验不限,本科,长沙君源商务咨询有限公司
智联,计算机,计算机硬件技术员,,广州·花都·秀全,1年以下,大专,广州塬泉科技有限公司
智联,计算机,大学计算机教师,,兰州·安宁区·孔家崖街道,1-3年,本科,甘肃科海职业培训学校
智联,计算机,计算机硬件维护专员,,济南·市中·港沟,经验不限,学历不限,南京太能塔信息科技有限公司
智联,计算机,计算机硬件技术员,,广州·天河·天河南,经验不限,大专,广州市浩安化工科技有限公司
智联,计算机,软件运维计算机维护工程师岗,,西安·未央·张家堡,经验不限,中专/中技,西安佳嘉家科技发展有限公司
智联,计算机,研发计算机硬件维护工程师经理,,大连·中山·光中,经验不限,学历不限,大连船味鲜科技有限公司
智联,计算机,计算机编程老师,,泸州·江阳区·况场街道,经验不限,本科,泸州市江阳区灵通艺术培训学校有限公司
智联,计算机,硬件运维计算机维护经理,,厦门·集美·莲前,经验不限,学历不限,厦门富企来网络科技有限公司
智联,计算机,专升本计算机老师,,兰州·安宁区·孔家崖街道,1-3年,本科,甘肃科至海教育科技有限公司
智联,计算机,职高计算机教师5-8k+五险+包食宿,,呼和浩特·回民区·攸攸板,3-5年,大专,呼和浩特市智能工科中等职业学校有限公司
智联,计算机,计算机应用教师,,宿州·砀山县·砀城镇,经验不限,本科,砀山铁路中学
智联,计算机,计算机硬件维修员,,上海·闵行·江川路,1-3年,中专/中技,上海桐俨信息科技有限公司
智联,计算机,计算机教师,,昆明·呈贡·马金铺,经验不限,本科,云南防控教育有限公司
智联,计算机,双休+计算机助理（测试方向）,,郑州·二七区·解放路,经验不限,大专,郑州燃犀科技有限公司
智联,计算机,计算机网络工程师,,德州·德城区·广川街道,1-3年,学历不限,德州云冠信息技术有限公司
智联,计算机,计算机教师,,天津·津南·北闸口,经验不限,大专,天津市津南区众学一诺启航培训学校
智联,计算机,计算机操作员,,扬州·邗江区·双桥街道,经验不限,中专/中技,广州或范科技有限公司
智联,计算机,计算机硬件维护工程师,,厦门·海沧·筼筜,经验不限,学历不限,厦门蓝姒珩科技有限公司
智联,计算机,计算机技术员,,杭州·滨江·西兴,经验不限,大专,深圳市知瑾羽贸易实业有限公司
智联,计算机,计算机办公、设计软件老师,,邯郸·邯山区·罗城头街道,1-3年,大专,邯山区创硕职业培训学校
智联,计算机,计算机硬件技术员,,北京·顺义·空港,经验不限,大专,新时器(北京)科技有限公司
智联,计算机,计算机系统维保硬件维护工程师经理（销售后勤保障）,,无锡·滨湖·长安,经验不限,学历不限,麦乐萌(无锡)生物科技有限公司
智联,计算机,AI模型算法初级工程师（计算机视觉）,,郑州·金水·祭城路,经验不限,大专,北京外企人力资源服务河南有限公司
智联,计算机,计算机应用技术专员,,深圳·福田·福田街道,经验不限,大专,东莞市卓行盛途科技有限公司
智联,计算机,计算机网络应用教师,,深圳·坪山·坪山街道,经验不限,本科,深圳市科迪技工学校
智联,计算机,中职计算机教师,,连云港·连云区·宿城街道,经验不限,本科,连云港市信息技工学校
智联,计算机,计算机硬件维护工程师,,上海·宝山·庙行,1-3年,大专,信天极点传媒科技(上海)有限公司
智联,计算机,计算机维护,,杭州·滨江·长河,经验不限,大专,长沙君源商务咨询有限公司
智联,计算机,计算机专业老师,,长沙·望城·金山桥,经验不限,本科,长沙华中涉外职业高中有限责任公司
智联,计算机,计算机网络工程师5k+,,重庆·两江新区,经验不限,大专,重庆扬策科技有限公司
智联,计算机,计算机专业教师,,广州·白云·人和,1-3年,本科,广东省领才技工学校
智联,计算机,计算机技术支持,,郑州·二七区·长江路,经验不限,大专,河南宛帧科技实业有限公司
智联,计算机,计算机实习生,,泉州·晋江市·罗山街道,经验不限,学历不限,泉州汇吉兴贸易有限公司
智联,计算机,技术计算机硬件维护工程师技术员,,青岛·黄岛·中韩,经验不限,中专/中技,青岛存真智能焊接技术有限公司
智联,计算机,计算机硬件维护工程师-五险一金,,武汉·江汉·经开区,经验不限,大专,河南楠樽信息科技有限公司
智联,计算机,计算机网络老师,,海口·美兰·演丰,3-5年,本科,海南城市职业技术学校
智联,计算机,计算机基础教研部基础课教师,,长春·双阳·云山,经验不限,硕士,长春科技学院
智联,计算机,计算机操作员,,泰州·海陵区·城南街道,经验不限,中专/中技,广州或范科技有限公司
智联,计算机,计算机教师,,南京·鼓楼·中央门,1-3年,本科,上海经笥教育科技有限公司
智联,计算机,计算机维修,,潍坊·奎文·潍州路,经验不限,大专,山东泛海众诚智能科技有限公司
智联,计算机,计算机任课教师,,徐州·泉山区·庞庄街道,1-3年,本科,徐州市博大中等职业学校
智联,计算机,专升本助教老师（高数、语文、英语、计算机、政治）,,济南·长清·崮云湖,经验不限,本科,山东山仑教育集团有限公司
智联,计算机,计算机老师,,西安·未央·草滩,1年以下,本科,西安智能工业技工学校
智联,计算机,专业课教师（机械、计算机、艺术类）,,自贡·自流井区,经验不限,本科,自贡市东方职业技术学校
智联,计算机,计算机老师,,邢台·襄都区·晏家屯镇,经验不限,大专,北京盛邦升华信息技术服务有限公司
智联,计算机,计算机老师,,郑州·新郑·和庄,经验不限,本科,河南泽智林科技有限公司
智联,计算机,it计算机硬件技术员,,东莞·东城街道,1年以下,大专,东莞市中惠科技有限公司
智联,计算机,计算机教师,,天津·滨海新区·汉沽,经验不限,本科,天津市津南区众学一诺启航培训学校
智联,计算机,计算机教师,,呼和浩特·回民区·攸攸板,3-5年,学历不限,呼和浩特市智能工科中等职业学校有限公司
智联,计算机,计算机教师,,昆明·盘龙·拓东,经验不限,本科,云南蜻蜓星途教育科技有限公司
智联,计算机,计算机专业课教师,,郑州·中原·须水,经验不限,本科,郑州商贸旅游职业学院
智联,计算机,计算机硬件工程师,,合肥·蜀山·井岗,经验不限,学历不限,合肥德北新能源科技有限公司
智联,计算机,计算机科学与技术,,保定·莲池·裕华,经验不限,大专,河南省泰齐笙阳信息技术服务有限公司
智联,计算机,5K起招计算机技术 助理（双休）,,重庆·两江新区,经验不限,大专,重庆德合益供应链科技有限公司
智联,计算机,计算机技术 | 专升本,,凉山·西昌市,1-3年,本科,四川同信教育管理有限公司
智联,计算机,高级技工学校计算机教师,,保定·莲池·百楼,1-3年,本科,保定动力工程高级技工学校
智联,计算机,计算机专业实习生,,青岛·胶州·九龙,经验不限,大专,青岛开拓隆海智控有限公司
智联,计算机,计算机类（2026届校招）,,无锡·江阴·新桥,经验不限,本科,海澜集团
