数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
猎聘,计算机,A-Level学科老师 (数学、物理、经济、计算机科学...),10,广州,经验不限,学历不限,广州引力科技有限公司
猎聘,计算机,计算机信息类专业教师,10,西安,经验不限,硕士,西安科技大学高新学院
猎聘,计算机,双语计算机科学教师（新手教师）,10,苏州,经验不限,本科,雅力教育
猎聘,计算机,双语计算机老师,18,宁波,1-3年,统招本科,某宁波培训服务公司
猎聘,计算机,计算机辅助药物设计初级研究员,12,武汉,1-3年,硕士,远大医药科技(武汉)有限公司
猎聘,计算机,FPGA工程师（计算机方向）,15,上海,1年以下,本科,柏飞电子
猎聘,计算机,AI前端开发工程师,22,上海,3-5年,本科,上海航天技术基础研究所
猎聘,计算机,考试考的ksk,10,佛山,经验不限,本科,佛山市海楚柏餐饮管理有限公司
猎聘,计算机,高级 Agent 开发工程师(J10500),22,深圳,1-3年,本科,华曦达科技
猎聘,计算机,计算机研究员,28,深圳,3-5年,学历不限,某深圳基金/证券/期货公司
猎聘,计算机,世界500强三亚计算机人工智能算法大模型博士教育教师,26,三亚,经验不限,学历不限,某北京大型人力资源服务公司
猎聘,计算机,高中计算机教师,9,大连,1-3年,硕士,英领国际学校
猎聘,计算机,高中计算机教师,21,上海,经验不限,本科,上海金瑞学校
猎聘,计算机,计算机系统验证工程师,14,上海,1-3年,本科,恒瑞医药
猎聘,计算机,国际学校计算机老师,12,武汉,3年以上,本科,爱莎国际教育集团
猎聘,计算机,开发工程师 L14140,11,连云港,1-3年,本科,欧美斯集团
猎聘,计算机,计算机硬件维护工程师,16,徐州,经验不限,学历不限,海南伽欣睿贸易有限公司
猎聘,计算机,新东方国际课程/物理/化学/计算机/经济教师,15,武汉,经验不限,本科,新东方教育科技集团有限公司
猎聘,计算机,25-26届硕博应届生（人工智能，计算机）,20,北京,经验不限,硕士,某北京机械/设备上市公司
猎聘,计算机,AI产品经理—计算机上市公司,14,深圳,经验不限,统招本科,某北京计算机硬件上市公司
猎聘,计算机,数学讲师（计算机类）,11,郑州,经验不限,硕士,某郑州IT服务上市公司
猎聘,计算机,信息技术教师（计算机、编程、人工智能）,10,上海,1-3年,本科,北京凯文德信教育科技股份有限公司上海分公司
猎聘,计算机,计算机系统工程师【需有GMP同岗位经验】,12,北京,3年以上,大专,北京华放天实生物制药有限责任公司
猎聘,计算机,计算机设计研究实习生,6,重庆,经验不限,本科,湖南大学重庆研究院
猎聘,计算机,计算机系统验证工程师,9,武汉,1-3年,统招本科,武汉点风信息科技有限公司
猎聘,计算机,前端开发工程师,14,上海,5年以上,本科,锦泓时装集团股份有限公司
猎聘,计算机,计算机视觉工程师,25,上海,经验不限,硕士,玫德集团有限公司
猎聘,计算机,AI研究员（通信/电子/计算机方向）,30,北京,经验不限,学历不限,某北京大型信托公司
猎聘,计算机,计算机视觉算法工程师,18,武汉,1-10年,硕士,武汉港迪技术股份有限公司
猎聘,计算机,计算机视觉工程师,12,西安,经验不限,学历不限,烟台睿创微纳技术股份有限公司
猎聘,计算机,计算机老师,18,宁波,1-3年,统招本科,某宁波培训服务公司
猎聘,计算机,双语A level计算机老师-上海知名国际学校,20,上海,经验不限,统招本科,某上海学校教育公司
猎聘,计算机,双语计算机教师,22,深圳,1-3年,本科,爱乐惟教育科技(深圳)有限公司
猎聘,计算机,兼职A-Level / AP / IB 化学、生物、计算机、心理学科教师,2,上海,1年以上,统招本科,知氏科技
猎聘,计算机,国际高中计算机教师,12,大连,经验不限,本科,英领国际学校
猎聘,计算机,研发测试工程师（计算机方向）,12,上海,3-5年,大专,柏飞电子
猎聘,计算机,双语计算机/信息技术老师（国际学校）,12,重庆,2-4年,统招本科,某北京大型培训服务公司
猎聘,计算机,前端开发工程师,12,杭州,1-3年,本科,创邻科技
猎聘,计算机,计算机教师,10,石家庄,经验不限,硕士,河北外国语学院
猎聘,计算机,计算机硬件维护工程师,16,南京,经验不限,学历不限,海南佳秋好居房产咨询有限公司
猎聘,计算机,计算机系统验证工程师(CSV工程师),10,杭州,1-3年,统招本科,武汉点风信息科技有限公司
猎聘,计算机,大同沃飞科技,25,大同,3-5年,本科,墨擦(上海)实业有限公司
猎聘,计算机,研究院-计算机行业分析师,12,上海,1-3年,硕士,太平洋证券
猎聘,计算机,计算机与信息网络总体工程师,12,北京,1-3年,本科,苍宇天基(北京)信息通信技术有限公司
猎聘,计算机,计算机视觉算法工程师,18,北京,3-5年,本科,南京开缘智能科技有限公司
猎聘,计算机,计算机软件测试工程师,24,上海,3-5年,统招本科,三一集团
猎聘,计算机,计算机视觉工程师,21,苏州,1-3年,本科,江苏烽禾升智能科技有限公司
猎聘,计算机,FPGA工程师（计算机方向）,23,上海,1年以下,本科,柏飞电子
猎聘,计算机,计算机老师,32,北京,5-10年,学历不限,某北京大型培训服务公司
猎聘,计算机,(计算机，传媒)行业研究员,30,上海,经验不限,学历不限,某上海基金/证券/期货公司
猎聘,计算机,计算机视觉算法,45,深圳,经验不限,本科,DJI 大疆
猎聘,计算机,测试专家（计算机、硬盘、存储）,40,长沙,经验不限,学历不限,某长沙电子/半导体/集成电路上市公司
猎聘,计算机,计算机视觉开发工程师 (MJ007777),18,合肥,5年以上,本科,上海移远通信技术股份有限公司
猎聘,计算机,计算机辅助抗体药物设计工程师,18,苏州,2年以上,硕士,苏州予路乾行生物科技有限公司
猎聘,计算机,计算机结构工程师,14,合肥,3年以上,本科,合肥陆通智能科技有限公司
猎聘,计算机,交互式广告制作--实习,4,洛阳,经验不限,统招本科,洛阳星航游戏科技有限公司
猎聘,计算机,算法工程师 （计算机视觉方向）,22,沈阳,3-5年,硕士,沈阳新松机器人自动化股份有限公司
